,big_bias,clear_table,discount_factor,eps_prog,epsilon,full_adaptation,learning_rate,group
0,2,True,0.7846374177192867,1.0,0.46408928731037874,False,0.988860008125858,1
1,2,True,0.41033000041560974,0.995,0.28009939224895036,False,0.6793869996815788,2
2,2,False,0.40972659256581867,0.995,0.30253089786497495,True,0.9907732211860353,1
3,2,True,0.8989761050798715,1.0,0.36100535835965913,False,0.37441529951262,2
4,5,True,0.4939418645674673,1.0,0.25309041635339113,False,0.7100083471597738,1
5,2,False,0.3814634458483398,0.99,0.6157348200539732,True,0.9978736598286083,2
6,2,False,0.46884689219351705,0.995,0.9932013113794456,False,0.0019928309274426393,0
7,2,False,0.650972109563273,1.0,0.3024931110727161,True,0.9931974879052575,1
8,5,True,0.49626479524974126,0.999,0.2168374150189517,False,0.9941588474822565,1
9,5,True,0.43840538860378137,1.0,0.24863445469749626,False,0.7193705126127413,1
10,5,True,0.5814521737893515,0.999,0.24986935740798122,False,0.7350334060346938,1
11,0,False,0.8309917771205769,1.0,0.359047296338494,False,0.7385592663928493,1
12,0,False,0.7986510591506198,0.999,0.236690045206378,True,0.7048352459486157,1
13,5,False,0.10324731853606278,0.999,0.19756340523516558,False,0.003253640874287934,0
14,5,False,0.8055348834844694,0.995,0.08680391800575522,True,0.0020777940444399717,0
15,2,False,0.970119638887209,1.0,0.3333476340225909,False,0.2514407224838464,1
16,5,True,0.7263858873189678,0.995,0.285285837831526,False,0.9397087956981214,1
17,2,True,0.921712128146306,0.999,0.4694476918601141,False,0.8523691775059986,1
